Time BiogasCum CH4_cum CO2_cum pH Time VFA_Total Time NH4_avg Time SULPHATE EC %CH4 %CO2
1 23 - - 5.67 1 11338 6 1100.3493449782 325 981 21 - -
6 138 - - 6.12 8 28263 8 1312.576419214 328 1084.77 24.4 - -
7 161 - - 6.1 18 24761 10 1774.2358078603 331 982.07 25.5 - -
8 228.95 - - 6.09 51 25890 13 1586.4628820961 335 994.74 25.2 - -
10 357.78 19.4400372584 338.3399627416 6.04 55 30640 15 1691.2663755459 337 1407.31 22.1 5.433517038 94.566482962
13 509.68 100.6609611587 409.0190388413 5.99 59 30090 17 1682.5327510917 342 702.07 22.6 19.749835418 80.250164582
14 512.79 115.4189710611 397.3710289389 5.96 62 29854 20 1881.2227074236 344 873.52 21.4 22.5080385852 77.4919614148
15 518.08 97.9357277881 420.1442722119 6.05 91 36515 23 1739.3013100437 349 992.42 21.2 18.9035916824 81.0964083176
17 520 62.2916666667 457.7083333333 5.89 93 51866 29 1329.1139240506 356 843.97 21 11.9791666667 88.0208333333
20 594.46 19.9590384099 574.5009615901 5.86 101 25950 31 1137.3983739837 364 1302.25 21.5 3.3575073865 96.6424926135
23 631.49 42.6336753983 588.8563246017 5.78 111 41478 34 1470 374 1155.22 20.3 6.7512827437 93.2487172563
27 660.5 45.5360220614 614.9639779386 5.87 134 54831 36 1560.1593625498 377 806.15 24.2 6.8941744226 93.1058255774
29 705.02 79.1801437556 625.8398562444 5.95 136 33121 45 1841.6998671979 450 680.275 28.8 11.2309074573 88.7690925427
31 788.75 178.9830407262 609.7669592738 5.93 139 38294 48 1870.9163346614 454 877.15 28.9 22.6919861459 77.3080138541
34 984.05 115.8891449053 868.1608550947 5.93 141 34122 51 1759.3625498008 468 2389.335 29.7 11.7767537122 88.2232462878
36 1068.99 163.6080762891 905.3819237109 5.93 143 44515 55 1922.7091633466 475 1859.605 29.8 15.3049211208 84.6950788792
38 1145.72 213.5252964942 932.1947035058 5.96 149 30995 57 2217.5298804781 486 636.54 29.5 18.6367783136 81.3632216864
43 1339.47 192.1923406452 1147.2776593548 5.91 158 38157 58 1735.4581673307 489 238.88 30.1 14.3483870968 85.6516129032
45 1391.96 132.5928748333 1259.3671251667 5.93 161 27241 62 1735.4838709677 609 5968.435 30.3 9.5256239284 90.4743760716
48 1462.78 227.2038972042 1235.5761027958 5.88 165 32380 64 1654.8387096774 615 682.685 29.9 15.5323354984 84.4676645016
51 1573.74 170.1953857246 1403.5446142754 5.81 168 28300 66 1594.3548387097 630 891.095 30.6 10.8147080029 89.1852919971
55 1730.18 276.4925850166 1453.6874149834 5.85 182 33770 69 1904.5267489712 637 3158.015 30.9 15.9805676298 84.0194323702
57 1767.08 239.4417344173 1527.6382655827 5.86 198 32584 71 1711.1111111111 650 293.29 30.1 13.5501355014 86.4498644986
59 1767.08 - - 5.82 322 23259 90 2136.5205843294 665 91.205 30.2 - -
62 1767.08 - - 5.98 325 22193 91 2303.8512616202 672 621.625 30.4 - -
64 1778.78 322.3088547005 1456.4711452995 5.86 327 22232 93 1684.9933598938 679 260.98 30.7 18.1196581196 81.8803418804
66 1816.8 621.209889532 1195.590110468 5.85 330 33133 94 2356.9721115538 685 415.34 30.8 34.1925302472 65.8074697528
69 1873.96 311.4524142757 1562.5075857243 5.9 333 27928 98 1554.8472775564 693 768.8675 31.1 16.6200139958 83.3799860042
71 1903.94 317.5350233489 1586.4049766511 5.82 337 26514 99 2716.1290322581 699 208.5025 31.3 16.6777851901 83.3222148099
73 1930.05 554.3996553045 1375.6503446955 5.85 339 28774 104 1601.5267175573 706 220.955 31.2 28.7246265799 71.2753734201
77 1992.46 590.6186508572 1401.8413491428 5.85 344 27616 111 2116.2790697674 713 162.17 31.2 29.6426854671 70.3573145329
79 2026.1 602.288941736 1423.811058264 5.64 346 25195 125 2170.612244898 720 38.8825 24.5 29.7265160523 70.2734839477
83 2055.97 619.4753933714 1436.4946066286 5.61 351 20211 128 1575.4545454546 727 52.96 23.3 30.1305657851 69.8694342149
87 2098 599.0007137759 1498.9992862241 5.64 358 16627 129 1927.1028037383 741 49.62 20.1 28.551034975 71.448965025
90 2119.39 644.0409069655 1475.3490930346 5.6 365 17334 132 1888.8888888889 - - 22.8 30.3880317905 69.6119682095
91 2127.07 1384.8111979179 742.2588020821 5.58 376 32298 139 2007.0038910506 - - 22.6 65.1041666667 34.8958333333
93 2138.02 1259.381643836 878.6383561641 5.72 379 5310 146 2198.418972332 - - 32.2 58.9041095891 41.0958904109
94 2143.97 1441.3243697486 702.6456302514 5.71 429 5281 150 1903.2258064516 - - 31.1 67.2268907563 32.7731092437
98 2174.4 928.925402563 1245.474597437 5.69 436 2516 158 1638.8663967611 - - 30.8 42.7209990141 57.2790009859
101 2185.22 1009.805914973 1175.414085027 5.83 443 2056 164 1816.5322580645 - - 30.8 46.2107208873 53.7892791127
104 2202.6 823.7571921747 1378.8428078253 5.75 451 26575 167 1895.9677419355 - - 30.8 37.3993095512 62.6006904488
106 2220.89 1032.1249316562 1188.7650683438 5.77 468 3287 169 2629.0322580645 - - 30.8 46.4734827775 53.5265172225
108 2237.91 1709.3319623982 528.5780376018 5.83 479 3116 171 2028.2258064516 - - 30.2 76.3807285547 23.6192714453
