Date;Experiment;Phase;pH;Conductivity;Temperature;DO;BiogasM;BiogasCum;CH4;CO2;CH4/CO2 ratio;total;O2;Experimental Comments
2004-09-01;Column 1;1;5.67;21;17;4.1;;23;;;;0;;
2004-09-06;Column 1;1;6.12;24.4;21.2;1.2;126628;138;;;;0;;
2004-09-07;Column 1;1;6.1;25.5;20;1.2;126789;161;;;;0;;
2004-09-08;Column 1;1;6.09;25.2;16.6;1.3;126856.95;228.95;;;;0;;
2004-09-10;Column 1;1;6.04;22.1;16;1.2;126985.78;357.78;5.43;94.57;0.06;100;; 
2004-09-13;Column 1;1;5.99;22.6;16.9;1.2;127137.68;509.68;19.75;80.25;0.25;100;;
2004-09-14;Column 1;1;5.96;21.4;15.4;1.6;127140.79;512.79;22.51;77.49;0.29;100;;
2004-09-15;Column 1;1;6.05;21.2;14.7;1.5;127146.08;518.08;18.9;81.1;0.23;100;;
2004-09-17;Column 1;1;5.89;21;14.3;1.7;127148;520;11.98;88.02;0.14;100;;
2004-09-20;Column 1;1;5.86;21.5;15.5;1.5;127222.46;594.46;3.36;96.64;0.03;100;;
2004-09-23;Column 1;1;5.78;20.3;14.7;1.5;127259.49;631.49;6.75;93.25;0.07;100;;
2004-09-27;Column 1;1;5.87;24.2;15.2;1.3;127288.5;660.5;6.89;93.11;0.07;100;;
2004-09-29;Column 1;1;5.95;28.8;15.8;1;127333.02;705.02;11.23;88.77;0.13;100;;
2004-10-01;Column 1;1;5.93;28.9;15.3;1.1;127416.75;788.75;22.69;77.31;0.29;100;;
2004-10-04;Column 1;1;5.93;29.7;15.5;0.9;127612.05;984.05;11.78;88.22;0.13;100;;
2004-10-06;Column 1;1;5.93;29.8;13.2;0.8;127696.99;1068.99;15.3;84.7;0.18;100;;
2004-10-08;Column 1;1;5.96;29.5;13.5;0.8;127773.72;1145.72;18.64;81.36;0.23;100;;
2004-10-13;Column 1;1;5.91;30.1;12.2;0.8;127967.47;1339.47;14.35;85.65;0.17;100;;
2004-10-15;Column 1;1;5.93;30.3;12;0.7;128019.96;1391.96;9.53;90.47;0.11;100;;
2004-10-18;Column 1;1;5.88;29.9;11.4;0.6;128090.78;1462.78;15.53;84.47;0.18;100;;
2004-10-21;Column 1;1;5.81;30.6;14.5;0.8;128201.74;1573.74;10.81;89.19;0.12;100;;
2004-10-25;Column 1;1;5.85;30.9;15.7;0.8;128358.18;1730.18;15.98;84.02;0.19;100;;
2004-10-27;Column 1;1;5.86;30.1;13.1;0.8;128395.08;1767.08;13.55;86.45;0.16;100;;
2004-10-29;Column 1;1;5.82;30.2;13.6;0.8;128395.08;1767.08;;;;0;;
2004-11-01;Column 1;1;5.98;30.4;11.4;0.5;128402.51;1767.08;;;;0;;
2004-11-03;Column 1;1;5.86;30.7;11.6;0.4;128414.21;1778.78;18.12;81.88;0.22;100;;
2004-11-05;Column 1;1;5.85;30.8;11.9;0.7;128452.23;1816.8;34.19;65.81;0.52;100;;
2004-11-08;Column 1;1;5.9;31.1;11.5;0.6;128509.39;1873.96;16.62;83.38;0.2;100;;
2004-11-10;Column 1;1;5.82;31.3;8.8;0.6;128539.37;1903.94;16.68;83.32;0.2;100;;
2004-11-12;Column 1;1;5.85;31.2;8.8;0.6;128565.48;1930.05;28.72;71.28;0.4;100;;
2004-11-16;Column 1;1;5.85;31.2;9.7;0.6;128627.89;1992.46;29.64;70.36;0.42;100;;
2004-11-18;Column 1;1;5.64;24.5;12.4;0.6;128661.53;2026.1;29.73;70.27;0.42;100;;
2004-11-22;Column 1;1;5.61;23.3;10.6;0.6;128691.4;2055.97;30.13;69.87;0.43;100;;
2004-11-26;Column 1;1;5.64;20.1;5.8;0.8;128733.43;2098;28.55;71.45;0.4;100;;
2004-11-29;Column 1;1;5.6;22.8;10.4;0.7;128754.82;2119.39;30.39;69.61;0.44;100;;
2004-11-30;Column 1;1;5.58;22.6;10.7;0.7;128762.5;2127.07;65.1;34.9;1.87;100;;
2004-12-02;Column 1;1;5.72;32.2;8.6;0.6;128773.45;2138.02;58.9;41.1;1.43;100;;
2004-12-03;Column 1;1;5.71;31.1;9.2;0.8;128779.4;2143.97;67.23;32.77;2.05;100;;
2004-12-07;Column 1;1;5.69;30.8;9.9;0.8;128809.83;2174.4;42.72;57.28;0.75;100;;
2004-12-10;Column 1;1;5.83;30.8;6.8;0.8;128820.65;2185.22;46.21;53.79;0.86;100;;
2004-12-13;Column 1;1;5.75;30.8;6;0.7;128838.03;2202.6;37.4;62.6;0.6;100;;
2004-12-15;Column 1;1;5.77;30.8;6;0.7;128856.32;2220.89;46.47;53.53;0.87;100;;
2004-12-17;Column 1;1;5.83;30.2;9.9;0.5;128873.34;2237.91;76.38;23.62;3.23;100;;
2004-12-20;Column 1;1;5.79;18.25;5.7;0.5;128900.93;2265.5;29;71;0.41;100;;
2004-12-22;Column 1;1;4.24;14.22;5.5;0.5;128915.1;2279.67;49.4;50.6;0.98;100;;
2005-01-03;Column 1;1;5.89;22.3;8.9;0.5;129018.52;2383.09;13.54;86.46;0.16;100;;
2005-01-05;Column 1;1;5.61;14.64;7;0.5;129026.93;2391.5;47.56;52.44;0.91;100;;
2005-01-06;Column 1;1;5.77;16.81;9.5;0.5;129032.27;2396.84;31.84;68.16;0.47;100;;
2005-01-10;Column 1;1;5.73;20.06;11.8;0.4;129075.79;2440.36;43.66;56.34;0.77;100;;
2005-01-12;Column 1;1;5.78;19.24;11.4;0.4;129109.48;2474.05;41.56;58.44;0.71;100;;
2005-01-14;Column 1;1;5.72;14.5;9;0.4;129118.95;2483.52;49.63;50.37;0.99;100;;
2005-01-17;Column 1;1;5.23;13;8;0.4;129129.41;2493.98;47.8;52.2;0.92;100;;
2005-01-19;Column 1;1;5.79;25.6;8.3;0.7;129132.5;2497.07;48.54;51.46;0.94;100;;
2005-01-21;Column 1;1;5.72;20.8;9;0.6;129148.57;2513.14;62.23;37.77;1.65;100;;
2005-01-26;Column 1;1;5.75;10.77;2.8;0.4;129149;2513.57;53.49;46.51;1.15;100;;
2005-01-28;Column 1;1;5.75;20.3;6.5;0.6;129186.34;2550.91;26.78;73.22;0.37;100;;
2005-02-02;Column 1;1;5.84;10.79;9;0.6;129227;2591.57;61.49;38.51;1.6;100;;
2005-02-04;Column 1;1;5.76;9.96;6.7;0.4;129252.06;2616.63;51.88;48.12;1.08;100;;
2005-02-07;Column 1;1;5.84;8.02;3.3;0.4;129294.02;2658.59;35.75;64.25;0.56;100;;
2005-02-09;Column 1;1;5.8;23.1;5.9;0.4;129316.65;2681.22;66.28;33.72;1.97;100;;
2005-02-11;Column 1;1;5.76;24.3;8.9;0.5;129345.9;2710.47;51.28;48.72;1.05;100;;
2005-02-14;Column 1;1;5.79;11.46;6.1;0.4;129395.92;2760.49;49.98;50.02;1;100;;
2005-02-16;Column 1;1;5.78;13.03;4;0.5;129424.15;2788.72;35.42;64.58;0.55;100;;
2005-02-18;Column 1;1;5.87;13.55;4.4;0.3;129438.75;2803.32;68.49;31.51;2.17;100;;
2005-02-21;Column 1;1;5.82;9.5;4.5;0.5;129480.02;2844.59;24.23;75.77;0.32;100;;
2005-02-23;Column 1;1;5.9;20.5;3.8;0.3;129514.71;2879.28;49.01;50.99;0.96;100;;
2005-02-25;Column 1;1;5.85;18.85;3;0.3;129552.28;2916.85;53.23;46.77;1.14;100;;
2005-02-28;Column 1;1;5.85;10.87;1.2;0.2;129590.93;2955.5;25.87;74.13;0.35;100;;
2005-03-02;Column 1;1;5.85;10.87;2;0.3;129661.11;3025.68;28.5;71.5;0.4;100;;
2005-03-07;Column 1;1;5.85;29.5;4.8;0.2;129758.03;3122.6;61.91;38.09;1.63;100;;
2005-03-09;Column 1;1;5.68;22.8;6.5;0.3;129766;3130.57;60;40;1.5;100;;
2005-03-11;Column 1;1;5.85;30.2;7;0.3;129896.9;3261.47;60;40;1.5;100;;
2005-03-14;Column 1;1;5.78;13.47;7;0.3;130064.7;3429.27;60;40;1.5;100;;
2005-03-16;Column 1;1;6.05;22.6;10.7;0.3;130186.4;3550.97;51;49;1.04;100;;
2005-03-18;Column 1;1;5.78;14.4;10.8;0.3;130278.2;3642.77;53;47;1.13;100;;
2005-03-23;Column 1;1;5.75;14.17;13.2;0.2;130663.7;4028.27;52;48;1.08;100;;
2005-03-30;Column 1;1;5.79;14.37;13;0.3;131787.5;5152.07;56;44;1.27;100;;
2005-04-01;Column 1;1;5.83;20.5;14;0.3;132085.23;5449.8;57;43;1.33;100;;
2005-04-04;Column 1;1;5.82;18.32;16;0.3;132503.4;5867.97;56;49;;105;;
2005-04-06;Column 1;1;5.97;19.27;12.2;0.3;132938.85;6303.42;56;49;;105;;
2005-04-08;Column 1;1;5.96;10.4;11.5;0.3;133216.95;6581.52;57;49;;106;;
2005-04-11;Column 1;1;5.98;13.96;11;0.3;133698.3;7062.87;54;48;1.13;102;;
2005-04-15;Column 1;1;5.98;11.98;13.4;0.3;134178.33;7542.9;56;49;;105;;
2005-04-18;Column 1;1;6;12.72;12.6;0.3;134560.53;7925.1;58;49;;107;;
2005-04-25;Column 1;1;6.02;12.9;15.1;0.3;135687.33;9051.9;59;41;1.44;100;;
2005-04-29;Column 1;1;6.02;12.9;15.1;0.3;136077.43;9442;;;;0;;
2005-05-02;Column 1;1;6.05;31.1;19.5;0.3;136619.15;9983.72;;;;0;;
2005-05-05;Column 1;1;6.03;31.1;13;0.3;136877.34;10241.91;;;;0;;
2005-05-06;Column 1;1;6.12;;12.5;0.3;136946.7;10311.27;;;;0;;
2005-05-07;Column 1;1;6.09;32.2;13.5;0.3;137006.32;10370.89;;;;0;;
2005-05-09;Column 1;1;6.11;30.5;11.8;0.3;137088.31;10452.88;;;;0;;
2005-05-11;Column 1;1;6.21;31.1;11.7;0.3;137181.9;10546.47;;;;0;;
2005-05-17;Column 1;1;6.06;32.1;14.2;0.3;137394.64;10759.21;;;;0;;
2005-05-20;Column 1;1;6.09;32.1;16;0.3;137485.9;10850.47;;;;0;;
2005-05-23;Column 1;1;6.08;32.1;17.6;0.3;137562.31;10926.88;;;;0;;
2005-05-25;Column 1;1;6.08;32.3;18.5;0.3;137662.28;11026.85;;;;0;;
2005-05-30;Column 1;1;6.2;32.5;15.8;0.3;137940;11304.57;;;;0;;
2005-06-01;Column 1;1;6.3;33;14.7;0.3;138032.47;11397.04;;;;0;;
2005-06-03;Column 1;1;;;18;0.3;138173.2;11537.77;;;;0;;
2005-06-06;Column 1;1;6.28;33.4;15.9;0.3;138438.32;11802.89;;;;0;;
