Date;Experiment;Phase;NH4_avg
2003-07-11;Column 1;1;755.84
2004-09-06;Column 1;1;1100.35
2004-09-08;Column 1;1;1312.58
2004-09-10;Column 1;1;1774.24
2004-09-13;Column 1;1;1586.46
2004-09-15;Column 1;1;1691.27
2004-09-17;Column 1;1;1682.53
2004-09-20;Column 1;1;1881.22
2004-09-23;Column 1;1;1739.3
2004-09-29;Column 1;1;1329.11
2004-10-01;Column 1;1;1137.4
2004-10-04;Column 1;1;1470
2004-10-06;Column 1;1;1560.16
2004-10-15;Column 1;1;1841.7
2004-10-18;Column 1;1;1870.92
2004-10-21;Column 1;1;1759.36
2004-10-25;Column 1;1;1922.71
2004-10-27;Column 1;1;2217.53
2004-10-28;Column 1;1;1735.46
2004-11-01;Column 1;1;1735.48
2004-11-03;Column 1;1;1654.84
2004-11-05;Column 1;1;1594.35
2004-11-08;Column 1;1;1904.53
2004-11-10;Column 1;1;1711.11
2004-11-29;Column 1;1;2136.52
2004-11-30;Column 1;1;2303.85
2004-12-02;Column 1;1;1684.99
2004-12-03;Column 1;1;2356.97
2004-12-07;Column 1;1;1554.85
2004-12-08;Column 1;1;2716.13
2004-12-13;Column 1;1;1601.53
2004-12-20;Column 1;1;2116.28
2005-01-03;Column 1;1;2170.61
2005-01-06;Column 1;1;1575.45
2005-01-07;Column 1;1;1927.1
2005-01-10;Column 1;1;1888.89
2005-01-17;Column 1;1;2007
2005-01-24;Column 1;1;2198.42
2005-01-28;Column 1;1;1903.23
2005-02-05;Column 1;1;1638.87
2005-02-11;Column 1;1;1816.53
2005-02-14;Column 1;1;1895.97
2005-02-16;Column 1;1;2629.03
2005-02-18;Column 1;1;2028.23
2005-02-21;Column 1;1;1899.19
2005-02-23;Column 1;1;2314.52
2005-02-25;Column 1;1;2552.42
2005-03-02;Column 1;1;1810.48
2005-03-04;Column 1;1;2278.23
2005-03-06;Column 1;1;2066.36
2005-03-07;Column 1;1;1491.94
2005-03-09;Column 1;1;1620.97
2005-03-11;Column 1;1;1612.9
2005-03-14;Column 1;1;1370.99
2005-03-16;Column 1;1;1897.71
2005-03-23;Column 1;1;1567.18
2005-03-30;Column 1;1;1601.53
2005-04-04;Column 1;1;2097.71
2005-04-07;Column 1;1;1659.57
2005-04-25;Column 1;1;1979.01
2005-04-29;Column 1;1;1502.42
2005-05-20;Column 1;1;1375
2005-05-23;Column 1;1;1727.46
2005-05-25;Column 1;1;1445.57
2005-05-29;Column 1;1;1894.94
2005-06-04;Column 1;1;1786.64
2005-06-07;Column 1;1;1831.2
2005-06-15;Column 1;1;2001.74
2005-06-17;Column 1;1;1610.43
2005-06-20;Column 1;1;1606.09
2005-06-22;Column 1;1;2072.81
2005-06-24;Column 1;1;1982.89
2005-06-27;Column 1;1;1987.85
2005-06-29;Column 1;1;1878.04
2005-07-13;Column 1;1;1809.29
2005-07-15;Column 1;1;1637.5
2005-07-20;Column 1;1;1773.86
2005-07-22;Column 1;1;1746.89
2005-07-25;Column 1;1;1724.18
2005-08-01;Column 1;1;1654.51
2005-08-04;Column 1;1;1574.81
2005-08-05;Column 1;1;1920.33
2005-08-06;Column 1;1;2261.6
2005-08-07;Column 1;1;1382.48
2005-08-08;Column 1;1;1644.13
2005-08-10;Column 1;1;1370.9
2005-08-15;Column 1;1;1483.61
2005-08-22;Column 1;1;1490.44
2005-08-29;Column 1;1;1541.67
2005-09-05;Column 1;1;1709.02
2005-09-12;Column 1;1;1999.32
2005-10-31;Column 1;1;728.28
2005-11-04;Column 1;1;1922.14
2005-11-05;Column 1;1;1174.18
2005-11-07;Column 1;1;1711.95
2005-11-08;Column 1;1;465.24
2005-11-14;Column 1;1;822.82
2005-11-15;Column 1;1;878.11
2005-11-22;Column 1;1;1308.26
2005-11-28;Column 1;1;769.64
2005-12-08;Column 1;1;893.56
2005-12-12;Column 1;1;840.45
2005-12-19;Column 1;1;1197
2005-12-29;Column 1;1;932.7
2006-01-02;Column 1;1;573.91
2006-01-24;Column 1;1;868.81
2006-02-06;Column 1;1;1013.71
2006-02-15;Column 1;1;1206.09
2006-02-23;Column 1;1;1177.73
2006-03-09;Column 1;1;840.55
2006-03-20;Column 1;1;1019.91
2006-03-27;Column 1;1;1117.75
2006-04-04;Column 1;1;1022.59
2006-04-18;Column 1;1;1227.04
2006-04-24;Column 1;1;1003.33
2006-05-01;Column 1;1;1100.56
2006-05-08;Column 1;1;1094.07
2006-05-22;Column 1;1;1319.36
2006-05-29;Column 1;1;1353.28
2006-06-12;Column 1;1;1121.31
2006-06-27;Column 1;1;1013.11
2006-07-03;Column 1;1;1041.26
2006-07-17;Column 1;1;977.87
2006-07-24;Column 1;1;850.82
2006-07-31;Column 1;1;665.85
2006-08-07;Column 1;1;666.39
2006-08-14;Column 1;1;694.36
2006-08-21;Column 1;1;696.11
2006-08-28;Column 1;1;692.73
2006-09-11;Column 1;1;552.88
2006-10-30;Column 1;1;615.63
2006-11-06;Column 1;1;711.17
2004-09-10;Column 2;1;1732.75
2004-09-13;Column 2;1;1455.46
2004-09-15;Column 2;1;1754.59
2004-09-17;Column 2;1;1831
2004-09-20;Column 2;1;1959.83
2004-09-23;Column 2;1;1678.17
2004-09-29;Column 2;1;1143.46
2004-10-01;Column 2;1;1230.89
2004-10-04;Column 2;1;1124.17
2004-10-06;Column 2;1;1408.76
2004-10-15;Column 2;1;1379.55
2004-10-18;Column 2;1;1785.92
2004-10-21;Column 2;1;1411.42
2004-10-25;Column 2;1;1719.52
2004-10-27;Column 2;1;1528.29
2004-10-28;Column 2;1;1424.7
2004-11-01;Column 2;1;1544.22
2004-11-03;Column 2;1;1464.54
2004-11-05;Column 2;1;1376.89
2004-11-08;Column 2;1;1580.08
2004-11-10;Column 2;1;1536.25
2004-11-29;Column 2;1;1719.52
2004-11-30;Column 2;1;1013.01
2004-12-02;Column 2;1;2062.15
2004-12-03;Column 2;1;1533.6
2004-12-07;Column 2;1;1153.78
2004-12-08;Column 2;1;1925.81
2004-12-13;Column 2;1;1891.6
2004-12-20;Column 2;1;1922.48
2005-01-03;Column 2;1;1970.61
2005-01-06;Column 2;1;1875.45
2005-01-07;Column 2;1;2032.24
2005-01-10;Column 2;1;1625.51
2005-01-17;Column 2;1;1643.19
2005-01-24;Column 2;1;1720.16
2005-01-28;Column 2;1;1669.35
2005-02-05;Column 2;1;1102.43
2005-02-11;Column 2;1;1699.6
2005-02-14;Column 2;1;1664.92
2005-02-16;Column 2;1;2629.03
2005-02-18;Column 2;1;1479.84
2005-02-21;Column 2;1;1532.26
2005-02-23;Column 2;1;2145.16
2005-02-25;Column 2;1;1580.65
2005-03-02;Column 2;1;1254.03
2005-03-04;Column 2;1;3084.68
2005-03-06;Column 2;1;1816.36
2005-03-07;Column 2;1;846.77
2005-03-09;Column 2;1;1342.74
2005-03-11;Column 2;1;1354.84
2005-03-14;Column 2;1;1947.33
2005-03-16;Column 2;1;1237.4
2005-03-23;Column 2;1;1611.07
2005-03-30;Column 2;1;1660.69
2005-04-04;Column 2;1;1960.31
2005-04-07;Column 2;1;1802.13
2005-04-25;Column 2;1;1968.72
2005-04-29;Column 2;1;1615.32
2005-05-20;Column 2;1;887.3
2005-05-23;Column 2;1;1522.54
2005-05-25;Column 2;1;1521.52
2005-05-29;Column 2;1;1956.12
2005-06-04;Column 2;1;1813.36
2005-06-07;Column 2;1;2175.21
2005-06-15;Column 2;1;1912.61
2005-06-17;Column 2;1;1923.48
2005-06-20;Column 2;1;1734.35
2005-06-22;Column 2;1;1853.51
2005-06-24;Column 2;1;2134.21
2005-06-27;Column 2;1;2195.79
2005-06-29;Column 2;1;1728.5
2005-07-13;Column 2;1;1902.21
2005-07-15;Column 2;1;2083.93
2005-07-20;Column 2;1;2037.34
2005-07-22;Column 2;1;2093.36
2005-07-25;Column 2;1;2084.84
2005-08-01;Column 2;1;2250.82
2005-08-04;Column 2;1;1609.16
2005-08-05;Column 2;1;2051.48
2005-08-06;Column 2;1;2426.16
2005-08-07;Column 2;1;1653.85
2005-08-08;Column 2;1;1927.6
2005-08-10;Column 2;1;1913.93
2005-08-15;Column 2;1;1831.97
2005-08-22;Column 2;1;2142.76
2005-08-29;Column 2;1;1814.89
2005-09-05;Column 2;1;1489.75
2005-09-12;Column 2;1;2252.05
2005-10-31;Column 2;1;1293.44
2005-11-04;Column 2;1;2154.96
2005-11-05;Column 2;1;1235.66
2005-11-07;Column 2;1;1935.4
2005-11-08;Column 2;1;1044.64
2005-11-14;Column 2;1;1544.92
2005-11-15;Column 2;1;1514.02
2005-11-22;Column 2;1;1653.76
2005-11-28;Column 2;1;1481.01
2005-12-08;Column 2;1;1207.94
2005-12-12;Column 2;1;1278.76
2005-12-19;Column 2;1;1123.26
2005-12-29;Column 2;1;1344.72
2006-01-02;Column 2;1;1539.57
2006-03-08;Column 2;2;1123.17
2006-03-13;Column 2;2;1078.17
2006-03-20;Column 2;2;857.97
2006-03-27;Column 2;2;748.04
2006-04-04;Column 2;2;759.63
2006-04-18;Column 2;2;1397.89
2006-04-24;Column 2;2;1076.24
2006-05-01;Column 2;2;1370.66
2006-05-08;Column 2;2;1536.95
2006-05-16;Column 2;2;1761.85
2006-06-12;Column 2;2;1851.23
2006-06-19;Column 2;2;1925
2006-06-22;Column 2;2;1541.39
2006-06-27;Column 2;2;1992.62
2006-06-29;Column 2;2;
2006-07-03;Column 2;2;1904.92
2006-07-10;Column 2;2;2291.55
2006-07-17;Column 2;2;1960.56
2006-07-24;Column 2;2;2009.62
2006-07-31;Column 2;2;2164.63
2006-08-07;Column 2;2;1911.27
2006-08-14;Column 2;2;2242.02
2006-08-21;Column 2;2;1939.91
2006-08-28;Column 2;2;2082.39
2006-09-11;Column 2;2;1573.89
2006-09-18;Column 2;2;1626.99
2006-09-25;Column 2;2;1885.84
2006-10-09;Column 2;2;1663.27
2006-10-16;Column 2;2;1837.46
2006-10-23;Column 2;2;1691.15
2006-10-30;Column 2;2;1805.01
2006-11-06;Column 2;2;1775.22
2006-11-13;Column 2;2;1703.32
2006-11-20;Column 2;2;1448.67
2006-11-27;Column 2;2;1804.25
2006-12-04;Column 2;2;1918.58
