Date;Experiment;Phase;Acetic;Propionic;Iso-butyric;Butyric;Valeric
2004-09-01;Column 1;1;9836;603;;899;
2004-09-08;Column 1;1;10683;4827;;11601;1152
2004-09-18;Column 1;1;10389;4475;402;9495;3837
2004-10-21;Column 1;1;13843;5423;413;10961;3181
2004-10-25;Column 1;1;12067;5526;504;11992;3185
2004-10-29;Column 1;1;12405;5348;535;11566;3095
2004-11-01;Column 1;1;16868;7239;9706;2702;2088
2004-11-30;Column 1;1;10819;6335;;8780;3022
2004-12-10;Column 1;1;11463;4531;282;9674;3344
2004-12-20;Column 1;1;15955;6502;4442;14578;4875
2005-01-12;Column 1;1;18832;16115;6642;13243;4824
2005-01-14;Column 1;1;10742;6213;3076;13090;4604
2005-01-17;Column 1;1;19115;6111;769;12298;4193
2005-01-19;Column 1;1;17197;5508;708;10708;3588
2005-01-21;Column 1;1;19930;6498;4985;13102;4600
2005-01-26;Column 1;1;13799;4421;3357;9418;3274
2005-02-04;Column 1;1;18166;6193;905;12892;4410
2005-02-07;Column 1;1;10504;4484;2967;9287;3371
2005-02-11;Column 1;1;15190;4576;2469;10146;5176
2005-02-14;Column 1;1;12601;5275;;10424;3783
2005-02-28;Column 1;1;18147;5436;;10187;3599
2005-03-16;Column 1;1;16694;5297;;10593;3733
2005-07-18;Column 1;1;18399;4859;;;
2005-07-20;Column 1;1;17420;4773;;;
2005-07-22;Column 1;1;17434;4799;;;
2005-07-25;Column 1;1;26246;6708;;;
2005-07-28;Column 1;1;20271;4434;2823;;
2005-08-01;Column 1;1;20246;6268;;;
2005-08-03;Column 1;1;25405;2629;;740;
2005-08-08;Column 1;1;21827;5789;;;
2005-08-10;Column 1;1;19898;5298;;;
2005-08-15;Column 1;1;16265;3946;;;
2005-08-22;Column 1;1;14793;1834;;;
2005-08-29;Column 1;1;9376;3339;2208;2411;2356
2005-09-12;Column 1;1;24830;7468;;;
2005-11-01;Column 1;1;3990;1320;;;
2005-11-08;Column 1;1;3693;1406;;183;
2005-11-15;Column 1;1;253;2263;;;
2005-11-23;Column 1;1;1769;287;;;
2005-12-02;Column 1;1;10200;4972;651;10653;3705
2012-09-09;Column 1;1;13829;4163;873;2008;1243
