DATE;Experiment;Phase;CHLORIDE;NITRITE;PHOSPATE;SULPHATE
2005-07-22;Column 1;1;2243;3;47.7;981
2005-07-25;Column 1;1;2438.99;2.05;46.35;1084.77
2005-07-28;Column 1;1;2503.46;3.73;37.15;982.07
2005-08-01;Column 1;1;2536.06;2.41;37.31;994.74
2005-08-03;Column 1;1;2338.9;1.78;42.52;1407.31
2005-08-08;Column 1;1;2021.82;4;32.23;702.07
2005-08-10;Column 1;1;2118.41;0.44;27.64;873.52
2005-08-15;Column 1;1;2110.98;9.95;31.36;992.42
2005-08-22;Column 1;1;1967.19;15.42;33.76;843.97
2005-08-30;Column 1;1;2436.82;7.3;;1302.25
2005-09-09;Column 1;1;2786.88;1.02;46.55;1155.22
2005-09-12;Column 1;1;1860.7;9.95;58.35;806.15
2005-11-24;Column 1;1;2554.33;12.11;52.81;680.28
2005-11-28;Column 1;1;1456.34;8.96;10.44;877.15
2005-12-12;Column 1;1;3099.12;3.75;67.18;2389.34
2005-12-19;Column 1;1;3430.59;26.03;35.99;1859.61
2005-12-30;Column 1;1;1619.71;13.35;25.27;636.54
2006-01-02;Column 1;1;1225.25;9.95;23.63;238.88
2006-05-02;Column 1;1;1927.47;13.81;27.4;5968.44
2006-05-08;Column 1;1;1723.79;5.16;31.3;682.69
2006-05-23;Column 1;1;1982.44;35.82;90.9;891.1
2006-05-30;Column 1;1;1642.68;34.59;93.04;3158.02
2006-06-12;Column 1;1;1702.26;21.3;24.83;293.29
2006-06-27;Column 1;1;1191.89;12.86;55.55;91.21
2006-07-04;Column 1;1;1440.56;49.37;47.98;621.63
2006-07-11;Column 1;1;1028.52;7.31;22.91;260.98
2006-07-17;Column 1;1;1139.16;52.67;31.45;415.34
2006-07-25;Column 1;1;1395.7;48.98;19.31;768.87
2006-07-31;Column 1;1;863.8;11.55;31.02;208.5
2006-08-07;Column 1;1;958.59;17.05;25.46;220.96
2006-08-14;Column 1;1;871.11;10.92;19.22;162.17
2006-08-21;Column 1;1;768.49;3.01;21.64;38.88
2006-08-28;Column 1;1;783.5;2.46;23.2;52.96
2006-09-11;Column 1;1;791.22;0.48;94.62;49.62
2005-07-22;Column 2;1;2303;5;32.1;1579
2005-07-25;Column 2;1;2801.47;;39.4;1888.38
2005-07-28;Column 2;1;2641.57;;26.58;1872.28
2005-08-01;Column 2;1;2629.38;;40.16;1664.93
2005-08-03;Column 2;1;2530.24;;27.68;1800.14
2005-08-08;Column 2;1;2248.53;9.99;22.19;1817.14
2005-08-10;Column 2;1;2774.35;;34.99;1801.66
2005-08-15;Column 2;1;2538.83;15.54;36.31;1997.05
2005-08-22;Column 2;1;2372.56;;29.98;1784.01
2005-08-30;Column 2;1;2542.84;1.68;44.89;1430.76
2005-09-09;Column 2;1;3233.32;;46.58;1850.11
2005-09-12;Column 2;1;2092.5;7.1;34.15;1770.2
2005-11-24;Column 2;1;2667.61;;35.61;1354.07
2005-11-28;Column 2;1;2522.73;4.41;51.28;1922.01
2005-12-12;Column 2;1;3430.59;26.03;35.99;1859.61
2005-12-19;Column 2;1;3390.09;4.66;53.91;2950.13
2005-12-30;Column 2;1;2141.2;;51.54;1884.46
2006-01-02;Column 2;1;2288.93;;65.62;1728.08
2006-05-02;Column 2;2;2094.92;;10.07;2953.28
2006-05-08;Column 2;2;2499.32;;20.14;3080.01
2006-05-17;Column 2;2;2329.71;;21.89;2466.53
2006-05-23;Column 2;2;2401.06;;25.37;2638.64
2006-05-30;Column 2;2;;;;
2006-06-12;Column 2;2;2521.47;4.84;23.65;2836.29
2006-06-27;Column 2;2;2449.26;;49.06;2975.64
2006-07-04;Column 2;2;2438.17;;27.58;3167.43
2006-07-11;Column 2;2;2457.04;1.95;22.95;2985.21
