MT_l;Rmax;Dominant mass?;Correct for T?;C(hyd);H[Acetate].tot;H2CO3.logact;NH3.tot;CH4;H2O;H+.tot;SO4-2.tot;H2S.tot;Cx(ace);Cx(meth);Cx(sulf);Ca+2.tot;Na+.tot;Cl-.tot
MTi;-;-;-;5.4375;0;-1.5571;0.065;0;55.6;-2.1;0.1631;0.00001;0;0.0401;0.0097;1.1631;0.1951;0.0951
Hydrolysis;0.0724;1;Yes;-1;0.3059958551;0.0102186736;0.0236095462;0;-0.0756099651;-4.34234459538751E-016;0;0;0.1819522688;0;0;0;0;0
Methanogenesis;0.06;11;Yes;0;-6.667904799;7.2347695668;-0.2;9.3684991025;-1.5337295357;1.48057228677056E-014;0;0;0;1;0;0;0;0
Sulfate_reduction;3.3676;12;Yes;0;-10.6429622254;27.097420275;-0.2;0;27.697420275;-30.5031681871;-15.2515840935;15.2515840935;0;0;1;0;0;0
Biomass_decay(acid);0.1219080201;10;-;0.9193711501;0;0.0806288499;0.144837731;0;-0.3400937759;0;0;0;-1;0;0;0;0;0
Biomass_decay(met);0.003;11;-;0.9193711501;0;0.0806288499;0.144837731;0;-0.3400937759;0;0;0;0;-1;0;0;0;0
Biomass_decay(sulf);0.16838;12;-;0.9193711501;0;0.0806288499;0.144837731;0;-0.3400937759;0;0;0;0;0;-1;0;0;0
Ammonium_oxidation;0.0058;4;-;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
OUTPUT;;;PARAMETERS;;;INHIBITION TYPE;inhibits reaction;inhibiting compound;Ks/Ki;;MT_g;H_p;kla;Ms_n;MT_l;;;
H2CO3.logact;-1.5571;;T;303;;1;2;2;0.1991;;N2;1;0;1;1;;;
pH;6.2;;p;1;;1;3;8;0.3484;;CO2;32.9059987765;100.02;19;3;;;
H[Acetate].con;0.001;;R(Latm/Kmol);0.082;;1;3;2;0.0001;;CH4;657.2205167912;100.02;5;5;;;
H2CO3.con;0.0277;;Vl;325;;1;2;4;0.0001;;H2S;8.8692043672;100.02;34;9;;;
NH4+.con;0.001;;Vg;80;;1;3;4;0.0001;;NH3;0.0140031364;100.02;24;4;;;
Na+.con;0.001;;-;-;;2;1;2;0.0234;;H2O;0.000431487;100.02;22;6;;;
H2O.con;0.001;;-;-;;2;2;24;0.0015;;;;;;;;;
SO4-2.con;0.001;;dataset;1;;2;2;34;0.0429;;;;;;;;;
NH3.con;0.001;;tstart;0;;3;1;40;0.00001;;;;;;;;;
Ca+2.con;0.001;;tend;800;;3;2;40;0.0000005;;;;;;;;;
Acetate-.con;0.001;;tstep;1;;4;3;34;0.0161;;;;;;;;;
Ca[NH3]2+2.con;0.001;;;;;5;3;18;0.0009;;;;;;;;;
Cl-.con;0.001;;;;;;;;;;;;;;;;;
NaHCO3.con;0.001;;;;;;;;;;;;;;;;;
HS-.con;0.001;;;;;;;;;;;;;;;;;
Natron.min;0.001;;;;;;;;;;;;;;;;;
NaCO3-.con;0.001;;;;;;;;;;;;;;;;;
NaSO4-.con;0.001;;;;;;;;;;;;;;;;;
H2S.con;0.001;;;;;;;;;;;;;;;;;
CO3-2.con;0.001;;;;;;;;;;;;;;;;;
Calcite.min;0.001;;;;;;;;;;;;;;;;;
CaHCO3+.con;0.001;;;;;;;;;;;;;;;;;
Gypsum.min;0.001;;;;;;;;;;;;;;;;;
CaNH3+2.con;0.001;;;;;;;;;;;;;;;;;
H+.con;0.001;;;;;;;;;;;;;;;;;
CaOH+.con;0.001;;;;;;;;;;;;;;;;;
Ca[Acetate]+.con;0.001;;;;;;;;;;;;;;;;;
S-2.con;0.001;;;;;;;;;;;;;;;;;
Na[Acetate].con;0.001;;;;;;;;;;;;;;;;;
HCO3-.con;0.001;;;;;;;;;;;;;;;;;
NH4SO4-.con;0.001;;;;;;;;;;;;;;;;;
OH-.con;0.001;;;;;;;;;;;;;;;;;
HSO4-.con;0.001;;;;;;;;;;;;;;;;;
CO2.cum;0;;;;;;;;;;;;;;;;;
CH4.cum;0.001;;;;;;;;;;;;;;;;;
