Date;Experiment;Phase;VFA_Total
2004-09-01;Column 1;1;11338
2004-09-08;Column 1;1;28263
2004-09-18;Column 1;1;24761
2004-10-06;Column 1;1;25890
2004-10-21;Column 1;1;30640
2004-10-25;Column 1;1;30090
2004-10-29;Column 1;1;29854
2004-11-01;Column 1;1;36515
2004-11-30;Column 1;1;51866
2004-12-10;Column 1;1;25950
2004-12-20;Column 1;1;41478
2005-01-12;Column 1;1;54831
2005-01-14;Column 1;1;33121
2005-01-17;Column 1;1;38294
2005-01-19;Column 1;1;34122
2005-01-21;Column 1;1;44515
2005-01-26;Column 1;1;30995
2005-02-04;Column 1;1;38157
2005-02-07;Column 1;1;27241
2005-02-11;Column 1;1;32380
2005-02-14;Column 1;1;28300
2005-02-28;Column 1;1;33770
2005-03-16;Column 1;1;32584
2005-07-18;Column 1;1;23259
2005-07-20;Column 1;1;22193
2005-07-22;Column 1;1;22232
2005-07-25;Column 1;1;33133
2005-07-28;Column 1;1;27928
2005-08-01;Column 1;1;26514
2005-08-03;Column 1;1;28774
2005-08-08;Column 1;1;27616
2005-08-10;Column 1;1;25195
2005-08-15;Column 1;1;20211
2005-08-22;Column 1;1;16627
2005-08-29;Column 1;1;17334
2005-09-12;Column 1;1;32298
2005-11-01;Column 1;1;5310
2005-11-08;Column 1;1;5281
2005-11-15;Column 1;1;2516
2005-11-23;Column 1;1;2056
2005-12-02;Column 1;1;26575
2005-12-19;Column 1;1;3287
2005-12-30;Column 1;1;3116
2006-01-12;Column 1;1;2738
2006-05-01;Column 1;1;1720
2006-05-08;Column 1;1;3816
2006-05-22;Column 1;1;1033
2006-05-29;Column 1;1;4088
2006-06-12;Column 1;1;5958
2006-07-03;Column 1;1;722
2006-07-10;Column 1;1;1368
2006-07-17;Column 1;1;2064
2006-07-24;Column 1;1;2747
2006-07-31;Column 1;1;2314
2006-08-14;Column 1;1;195
2006-08-21;Column 1;1;840
2012-09-09;Column 1;1;20872
2004-09-01;Column 2;1;11338
2004-09-08;Column 2;1;28263
2004-09-18;Column 2;1;33623
2004-10-06;Column 2;1;31556
2004-10-21;Column 2;1;32590
2004-10-25;Column 2;1;27540
2004-10-29;Column 2;1;28325
2004-11-01;Column 2;1;51757
2004-11-30;Column 2;1;54043
2004-12-10;Column 2;1;24755
2004-12-20;Column 2;1;30257
2005-01-12;Column 2;1;30375
2005-01-14;Column 2;1;34874
2005-01-17;Column 2;1;31790
2005-01-19;Column 2;1;33926
2005-01-21;Column 2;1;36805
2005-01-26;Column 2;1;36048
2005-02-04;Column 2;1;32833
2005-02-07;Column 2;1;27588
2005-02-11;Column 2;1;33551
2005-02-14;Column 2;1;32896
2005-02-28;Column 2;1;29115
2005-03-16;Column 2;1;21625
2005-07-18;Column 2;1;31755
2005-07-20;Column 2;1;22780
2005-07-22;Column 2;1;35601
2005-07-25;Column 2;1;50250
2005-07-28;Column 2;1;46599
2005-08-01;Column 2;1;47235
2005-08-03;Column 2;1;35031
2005-08-08;Column 2;1;56211
2005-08-10;Column 2;1;53460
2005-08-15;Column 2;1;41722
2005-08-22;Column 2;1;35367
2005-08-29;Column 2;1;25524
2005-09-12;Column 2;1;50240
2005-11-01;Column 2;1;22079
2005-11-08;Column 2;1;35300
2005-11-15;Column 2;1;12261
2005-11-23;Column 2;1;15040
2005-12-02;Column 2;1;29014
2005-12-19;Column 2;1;
2005-12-30;Column 2;1;17581
2012-09-09;Column 2;1;26441
2006-03-09;Column 2;2;38709
2006-03-13;Column 2;2;39688
2006-03-20;Column 2;2;40284
2006-03-27;Column 2;2;45939
2006-04-04;Column 2;2;39415
2006-04-18;Column 2;2;24336
2006-04-24;Column 2;2;17421
2006-05-01;Column 2;2;25532
2006-05-08;Column 2;2;27070
2006-05-16;Column 2;2;28854
2006-05-22;Column 2;2;28629
2006-05-29;Column 2;2;30253.5
2006-06-12;Column 2;2;31878
2006-07-03;Column 2;2;23959
2006-07-10;Column 2;2;30180
2006-07-17;Column 2;2;25946
2006-07-24;Column 2;2;29421
2006-07-31;Column 2;2;31698
2006-08-14;Column 2;2;29552
2006-08-21;Column 2;2;35907
2006-08-28;Column 2;2;35714
2006-09-09;Column 2;2;43127
2006-09-18;Column 2;2;35714
2006-10-09;Column 2;2;45238
2006-10-16;Column 2;2;30954
2006-10-23;Column 2;2;10480
2006-11-06;Column 2;2;38036
2006-12-11;Column 2;2;27681
2006-12-23;Column 2;2;766
2007-01-09;Column 2;2;14411
2006-03-09;Column 3;2;41954
2006-03-13;Column 3;2;32541
2006-03-20;Column 3;2;35245
2006-03-27;Column 3;2;42261
2006-04-04;Column 3;2;31872
2006-04-18;Column 3;2;13459
2006-04-24;Column 3;2;25223
2006-05-01;Column 3;2;24547
2006-05-08;Column 3;2;26180
2006-05-16;Column 3;2;32763
2006-05-22;Column 3;2;27279
2006-05-29;Column 3;2;24213
2006-06-12;Column 3;2;25528
2006-07-03;Column 3;2;23438
2006-07-10;Column 3;2;24828
2006-07-17;Column 3;2;23539
2006-07-24;Column 3;2;24750
2006-07-31;Column 3;2;26243
2006-08-14;Column 3;2;31902
2006-08-21;Column 3;2;30011
2006-08-28;Column 3;2;30438
2006-09-09;Column 3;2;31444
2006-09-18;Column 3;2;30438
2006-10-09;Column 3;2;33608
2006-10-16;Column 3;2;18383
2006-10-23;Column 3;2;26108
2006-11-06;Column 3;2;26225
2006-12-11;Column 3;2;17295
2006-12-23;Column 3;2;11181
2007-01-09;Column 3;2;1992
2006-03-09;Column 4;2;31417
2006-03-13;Column 4;2;24740
2006-03-20;Column 4;2;38203
2006-03-27;Column 4;2;39417
2006-04-04;Column 4;2;31856
2006-04-18;Column 4;2;20307
2006-04-24;Column 4;2;20825
2006-05-01;Column 4;2;20142
2006-05-08;Column 4;2;21338
2006-05-16;Column 4;2;24189
2006-05-22;Column 4;2;18782
2006-05-29;Column 4;2;26106
2006-06-12;Column 4;2;22127
2006-07-03;Column 4;2;19998
2006-07-10;Column 4;2;26238
2006-07-17;Column 4;2;27677
2006-07-24;Column 4;2;24793
2006-07-31;Column 4;2;30339
2006-08-14;Column 4;2;31191
2006-08-21;Column 4;2;35442
2006-08-28;Column 4;2;26223
2006-09-09;Column 4;2;34562
2006-09-18;Column 4;2;26226
2006-10-09;Column 4;2;28040
2006-10-16;Column 4;2;25303
2006-10-23;Column 4;2;2803
2006-11-06;Column 4;2;14684
2006-12-11;Column 4;2;7433
2006-12-23;Column 4;2;2928
2007-01-09;Column 4;2;195
2006-03-09;Column 5;2;35609
2006-03-13;Column 5;2;29663
2006-03-20;Column 5;2;28830
2006-03-27;Column 5;2;38087
2006-04-04;Column 5;2;34602
2006-04-18;Column 5;2;19610
2006-04-24;Column 5;2;20432
2006-05-01;Column 5;2;19421
2006-05-08;Column 5;2;19899
2006-05-16;Column 5;2;28736
2006-05-22;Column 5;2;30012
2006-05-29;Column 5;2;28615
2006-06-12;Column 5;2;27604
2006-07-03;Column 5;2;23187
2006-07-10;Column 5;2;23712
2006-07-17;Column 5;2;22005
2006-07-24;Column 5;2;22394
2006-07-31;Column 5;2;22134
2006-08-14;Column 5;2;29918
2006-08-21;Column 5;2;18322
2006-08-28;Column 5;2;25586
2006-09-09;Column 5;2;34723
2006-09-18;Column 5;2;25686
2006-10-09;Column 5;2;47843
2006-10-16;Column 5;2;15456
2006-10-23;Column 5;2;10305
2006-11-06;Column 5;2;15160
2006-12-11;Column 5;2;7972
2006-12-23;Column 5;2;544
2007-01-09;Column 5;2;599
2006-03-09;Column 6;2;45758
2006-03-13;Column 6;2;40562
2006-03-20;Column 6;2;43978
2006-03-27;Column 6;2;52982
2006-04-04;Column 6;2;47069
2006-04-18;Column 6;2;36592
2006-04-24;Column 6;2;27405
2006-05-01;Column 6;2;26721
2006-05-08;Column 6;2;23104
2006-05-16;Column 6;2;29129
2006-05-22;Column 6;2;36229
2006-05-29;Column 6;2;25248
2006-06-12;Column 6;2;32187
2006-07-03;Column 6;2;29246
2006-07-10;Column 6;2;35012
2006-07-17;Column 6;2;31464
2006-07-24;Column 6;2;32253
2006-07-31;Column 6;2;28155
2006-08-14;Column 6;2;35777
2006-08-21;Column 6;2;35698
2006-08-28;Column 6;2;26546
2006-09-09;Column 6;2;39955
2006-09-18;Column 6;2;26546
2006-10-09;Column 6;2;20541
2006-10-16;Column 6;2;17447
2006-10-23;Column 6;2;17991
2006-11-06;Column 6;2;15245
2006-12-11;Column 6;2;9640
2006-12-23;Column 6;2;11687
2007-01-09;Column 6;2;6686
2006-03-09;Column 7;2;43809
2006-03-13;Column 7;2;43350
2006-03-20;Column 7;2;45299
2006-03-27;Column 7;2;59981
2006-04-04;Column 7;2;36811
2006-04-18;Column 7;2;32126
2006-04-24;Column 7;2;14665
2006-05-01;Column 7;2;19771
2006-05-08;Column 7;2;19384
2006-05-16;Column 7;2;27205
2006-05-22;Column 7;2;37007
2006-05-29;Column 7;2;39350
2006-06-12;Column 7;2;37546
2006-07-03;Column 7;2;35500
2006-07-10;Column 7;2;31862
2006-07-17;Column 7;2;32132
2006-07-24;Column 7;2;34476
2006-07-31;Column 7;2;27716
2006-08-14;Column 7;2;34491
2006-08-21;Column 7;2;36674
2006-08-28;Column 7;2;33224
2006-09-09;Column 7;2;33254
2006-09-18;Column 7;2;33226
2006-10-09;Column 7;2;49727
2006-10-16;Column 7;2;43264
2006-10-23;Column 7;2;7760
2006-11-06;Column 7;2;24422
2006-12-11;Column 7;2;24890
2006-12-23;Column 7;2;19486
2007-01-09;Column 7;2;4964
2006-03-09;Column 8;2;39218
2006-03-13;Column 8;2;45699
2006-03-20;Column 8;2;41756
2006-03-27;Column 8;2;53760
2006-04-04;Column 8;2;32314
2006-04-18;Column 8;2;23890
2006-04-24;Column 8;2;22177
2006-05-01;Column 8;2;22044
2006-05-08;Column 8;2;21490
2006-05-16;Column 8;2;27137
2006-05-22;Column 8;2;30979
2006-05-29;Column 8;2;26229
2006-06-12;Column 8;2;24871
2006-07-03;Column 8;2;42545
2006-07-10;Column 8;2;36846
2006-07-17;Column 8;2;25051
2006-07-24;Column 8;2;34004
2006-07-31;Column 8;2;26016
2006-08-14;Column 8;2;33862
2006-08-21;Column 8;2;37613
2006-08-28;Column 8;2;21196
2006-09-09;Column 8;2;43940
2006-09-18;Column 8;2;21196
2006-10-09;Column 8;2;41909
2006-10-16;Column 8;2;50521
2006-10-23;Column 8;2;52069
2006-11-06;Column 8;2;18484
2006-12-11;Column 8;2;15068
2006-12-23;Column 8;2;10251
2007-01-09;Column 8;2;1022
